event, click, i, 2, j, 0, index, 4, t, 1543369325.182
event, click, i, 1, j, 0, index, 2, t, 1543369327.828
event, click, i, 1, j, 1, index, 3, t, 1543369329.813
event, click, i, 2, j, 0, index, 4, t, 1543369350.895
event, click, i, 1, j, 1, index, 3, t, 1543369353.839
event, click, i, 2, j, 1, index, 5, t, 1543369357.875
event, click, i, 0, j, 0, index, 0, t, 1543369360.676
event, click, i, 0, j, 1, index, 1, t, 1543369363.63
event, click, i, 1, j, 0, index, 2, t, 1543369366.628
event, click, i, 2, j, 0, index, 4, t, 1543369369.596
event, click, i, 1, j, 1, index, 3, t, 1543369371.596
event, click, i, 2, j, 1, index, 5, t, 1543369374.316
event, click, i, 0, j, 0, index, 0, t, 1543369377.1
event, click, i, 1, j, 0, index, 2, t, 1543369381.843
event, click, i, 0, j, 1, index, 1, t, 1543369384.551
event, click, i, 2, j, 0, index, 4, t, 1543369387.453
event, click, i, 1, j, 1, index, 3, t, 1543369390.46
event, click, i, 0, j, 0, index, 0, t, 1543369394.116
event, click, i, 2, j, 1, index, 5, t, 1543369397.077
event, click, i, 1, j, 0, index, 2, t, 1543369400.362
event, click, i, 1, j, 1, index, 3, t, 1543369403.219
event, click, i, 2, j, 0, index, 4, t, 1543369406.076
event, click, i, 0, j, 1, index, 1, t, 1543369409.509
event, click, i, 2, j, 1, index, 5, t, 1543369413.171
event, click, i, 1, j, 1, index, 3, t, 1543369426.765
event, click, i, 2, j, 0, index, 4, t, 1543369472.139
event, click, i, 1, j, 1, index, 3, t, 1543369474.826
event, click, i, 2, j, 1, index, 5, t, 1543369478.395
event, click, i, 0, j, 1, index, 1, t, 1543369480.745
event, click, i, 1, j, 0, index, 2, t, 1543369483.226
event, click, i, 0, j, 0, index, 0, t, 1543369485.907
event, click, i, 2, j, 0, index, 4, t, 1543369488.144
event, click, i, 1, j, 1, index, 3, t, 1543369490.657
event, click, i, 2, j, 1, index, 5, t, 1543369493.832
event, click, i, 0, j, 1, index, 1, t, 1543369495.994
event, click, i, 1, j, 0, index, 2, t, 1543369498.513
event, click, i, 1, j, 1, index, 3, t, 1543369501.104
event, click, i, 2, j, 0, index, 4, t, 1543369503.955
event, click, i, 0, j, 0, index, 0, t, 1543369506.786
event, click, i, 2, j, 1, index, 5, t, 1543369509.498
event, click, i, 1, j, 0, index, 2, t, 1543369512.24
event, click, i, 2, j, 0, index, 4, t, 1543369515.442
event, click, i, 0, j, 1, index, 1, t, 1543369518.32
event, click, i, 2, j, 0, index, 4, t, 1543369521.416
event, click, i, 0, j, 0, index, 0, t, 1543369523.897
event, click, i, 2, j, 1, index, 5, t, 1543369525.905
event, click, i, 1, j, 0, index, 2, t, 1543369528.601
event, click, i, 0, j, 1, index, 1, t, 1543369530.809
event, start, t, 1543371381.514
event, click, i, 0, j, 0, index, 0, t, 1543371423.105
event, click, i, 2, j, 1, index, 5, t, 1543371427.078
event, click, i, 0, j, 0, index, 0, t, 1543371472.686
event, click, i, 2, j, 1, index, 5, t, 1543371475.126
event, click, i, 0, j, 0, index, 0, t, 1543371477.653
event, click, i, 2, j, 1, index, 5, t, 1543371480.237
event, click, i, 1, j, 1, index, 3, t, 1543371482.967
event, click, i, 2, j, 0, index, 4, t, 1543371485.548
event, click, i, 0, j, 1, index, 1, t, 1543371488.364
event, click, i, 2, j, 0, index, 4, t, 1543371490.837
event, click, i, 0, j, 1, index, 1, t, 1543371493.614
event, click, i, 2, j, 0, index, 4, t, 1543371496.342
event, click, i, 0, j, 0, index, 0, t, 1543371498.854
event, click, i, 1, j, 0, index, 2, t, 1543371501.181
event, click, i, 2, j, 0, index, 4, t, 1543371503.093
event, click, i, 2, j, 1, index, 5, t, 1543371505.212
event, click, i, 1, j, 0, index, 2, t, 1543371507.653
event, click, i, 0, j, 0, index, 0, t, 1543371509.7
event, click, i, 1, j, 1, index, 3, t, 1543371511.541
event, click, i, 1, j, 0, index, 2, t, 1543371514.196
event, click, i, 0, j, 1, index, 1, t, 1543371516.862
event, click, i, 2, j, 0, index, 4, t, 1543371519.053
event, click, i, 0, j, 1, index, 1, t, 1543371521.612
event, click, i, 2, j, 0, index, 4, t, 1543371524.085
event, click, i, 0, j, 0, index, 0, t, 1543371526.655
event, click, i, 2, j, 1, index, 5, t, 1543371528.774
event, click, i, 1, j, 0, index, 2, t, 1543371530.9
event, click, i, 0, j, 1, index, 1, t, 1543371533.349
event, click, i, 1, j, 1, index, 3, t, 1543371576.263
event, click, i, 2, j, 1, index, 5, t, 1543371579.717
event, click, i, 0, j, 1, index, 1, t, 1543371582.077
event, click, i, 0, j, 0, index, 0, t, 1543371585.365
event, click, i, 2, j, 0, index, 4, t, 1543371588.79
event, click, i, 1, j, 1, index, 3, t, 1543371591.772
event, click, i, 2, j, 1, index, 5, t, 1543371595.549
event, click, i, 0, j, 1, index, 1, t, 1543371597.781
event, click, i, 2, j, 0, index, 4, t, 1543371600.36
event, click, i, 0, j, 0, index, 0, t, 1543371602.893
event, click, i, 2, j, 0, index, 4, t, 1543371605.636
event, click, i, 1, j, 1, index, 3, t, 1543371608.46
event, click, i, 2, j, 1, index, 5, t, 1543371612.507
event, click, i, 1, j, 0, index, 2, t, 1543371614.877
event, click, i, 0, j, 0, index, 0, t, 1543371617.948
event, click, i, 0, j, 1, index, 1, t, 1543371620.59
event, click, i, 2, j, 1, index, 5, t, 1543371624.192
event, click, i, 0, j, 1, index, 1, t, 1543371627.006
event, click, i, 2, j, 1, index, 5, t, 1543371629.892
event, click, i, 1, j, 0, index, 2, t, 1543371632.877
event, click, i, 2, j, 0, index, 4, t, 1543371635.863
event, click, i, 1, j, 0, index, 2, t, 1543376406.84
event, click, i, 2, j, 1, index, 5, t, 1543376414.838
event, click, i, 1, j, 0, index, 2, t, 1543376424.338
event, click, i, 0, j, 0, index, 0, t, 1543376427.222
event, click, i, 1, j, 1, index, 3, t, 1543376429.398
event, click, i, 2, j, 0, index, 4, t, 1543376432.854
event, click, i, 0, j, 1, index, 1, t, 1543376435.456
event, click, i, 1, j, 0, index, 2, t, 1543376438.486
event, click, i, 0, j, 1, index, 1, t, 1543376441.629
event, click, i, 2, j, 0, index, 4, t, 1543376444.885
event, click, i, 1, j, 0, index, 2, t, 1543376448.173
event, click, i, 0, j, 0, index, 0, t, 1543376450.374
event, click, i, 1, j, 1, index, 3, t, 1543376452.934
event, click, i, 0, j, 1, index, 1, t, 1543376456.257
event, click, i, 1, j, 0, index, 2, t, 1543376458.415
event, click, i, 0, j, 0, index, 0, t, 1543376461.301
event, click, i, 2, j, 1, index, 5, t, 1543376463.727
event, click, i, 0, j, 1, index, 1, t, 1543376467.094
event, click, i, 2, j, 1, index, 5, t, 1543376470.353
event, click, i, 1, j, 0, index, 2, t, 1543376472.79
event, click, i, 0, j, 1, index, 1, t, 1543376475.82
event, click, i, 2, j, 0, index, 4, t, 1543376479.014
